shade_adaptated_archive_p, mean std
0.000000,0.000000
0.000000,0.000000
0.373907,1.485381
0.000000,0.000000
0.000000,0.000000
7.311217,4.276314
0.040364,0.092384
20.261153,0.152346
3.681588,0.983548
0.009007,0.009747
0.000000,0.000000
3.664178,1.109766
5.183707,2.337120
0.041636,0.048953
442.122832,132.622034
0.367190,0.227294
10.122417,0.000000
15.400229,1.300592
0.255067,0.047457
2.392799,0.535584
400.193867,0.000000
4.774447,10.030414
532.572034,183.536478
202.457094,4.671589
199.563945,7.450794
130.423974,41.502095
303.722492,26.321909
306.895607,37.289481
