shade_with_archive, mean std
0.000000,0.000000
0.000000,0.000000
0.742945,2.034638
0.000000,0.000000
0.000000,0.000000
7.311217,4.276314
0.049569,0.099715
20.331628,0.109729
3.471175,1.011561
0.007628,0.008200
0.000000,0.000000
4.121390,1.463448
5.013349,2.529303
0.037963,0.042983
424.151295,128.554637
0.437311,0.195409
10.122417,0.000000
15.934295,1.569027
0.264040,0.052457
2.459601,0.539402
396.268497,27.756557
5.776664,8.138157
488.206580,192.742759
200.830866,12.426313
200.949076,2.682481
135.697316,49.107834
304.035470,28.535084
300.000000,0.000000
