shade_no_limited_archive, mean std
0.000000,0.000000
1716164.575527,668879.712174
260552460.727696,251126148.809906
1867.727945,778.101359
0.000942,0.000573
44.348833,0.903397
80.731984,10.434520
21.127933,0.024757
55.673326,1.952616
0.790854,0.522874
0.000606,0.000169
77.026831,12.538589
182.461245,26.150453
19.093010,2.717279
6721.452709,496.368081
1.325775,0.204633
51.634099,0.086018
187.601030,17.465212
3.035692,0.194194
20.105894,0.546125
745.016902,429.147368
65.542136,70.122395
7290.880211,665.531910
331.473058,8.338009
343.826240,12.022110
333.056447,105.940668
1628.376795,91.659716
586.030074,744.124341
